Nome,Endereço,Latitude,Longitude,Categoria
Big Box Supermercado,EPTG Km 07 Chácara Nº53  Colônia Agrícola Vicente Pires,-15.803591,-48.0011333,Compras
D'Mulher,"CLN 313, Bl. B, 16",-15.7499206,-47.8926825,Compras
Lupo,CC Taguatinga,-15.8107481,-48.065751,Compras
Shoulder,SCEES,-15.8284302,-47.9586296,Compras
CONIC,"SCS Quadra, 01",-15.7956105516977,-47.8846625021473,Compras
Cult Vídeo,"CLS, 104",-15.8348389,-47.9220136,Compras
Big Box Supermercado,SMDB CJ 12  lt I,-15.86061,-47.8354111,Compras
Duty Free Dufry Brasil,Aeroporto Internacional Juscelino Kubitschek,-15.869783303001,-47.917423040625,Compras
Olho do Obs - Disco de Vinil,"Cln 406 Bloco D, 16",-15.7664896,-47.8770858,Compras
Doce Lar do Chocolate,"ADE Conj. 21, Lt. 21, Lj. 2",-15.8513444018609,-48.072298225827,Compras
Lojas Blumenau,CLS 302 BL E  lj 33,-15.7999601,-47.8924484,Compras
Relicário Artes,"SCRS, 508",-15.81329,-47.90636,Compras
Rival Calçados,SDN Lote Único  lj T46,-15.7907305,-47.8844109,Compras
Supermercado Stock,Alameda Gravata Q 301  lt 2 cj 4,-27.1382809,-48.8984795,Compras
Feira Permanente do Cruzeiro,"SHCES, 609",-15.79445,-47.93889,Compras
Zinzane,"Setor de Clubes Esportivos Sul (SCES) Trecho, 02",-15.8186985,-47.8552866,Compras
Telu Comidas Congeladas,"R., 13",-15.836736,-48.0194913,Compras
Pedra Bonita,"R. 5 Chácara, 232",-15.8062570774708,-48.018580158699,Compras
